age,sex,seatbelt_use,drunk_driving,text_driving,drink_age,drink_freq,drink_binge
17,2,3,1,1,4,2,1
17,2,4,1,1,4,2,1
17,2,5,1,1,4,2,1
17,2,5,1,1,4,2,1
17,1,5,2,2,4,2,1
17,1,5,2,2,4,2,1
17,1,5,2,2,4,2,1
17,1,5,2,2,4,2,1
17,1,5,2,2,4,2,1
17,1,5,2,2,4,2,1
17,1,5,2,2,4,2,1
17,2,2,2,2,4,2,1
17,2,3,2,2,4,2,1
17,2,3,2,2,4,2,1
17,2,4,2,2,4,2,1
17,2,4,2,2,4,2,1
17,2,5,2,2,4,2,1
17,2,5,2,2,4,2,1
17,2,5,2,2,4,2,1
17,1,3,2,3,4,2,1
17,1,5,2,3,4,2,1
17,2,4,2,3,4,2,1
17,2,5,2,3,4,2,1
17,2,5,2,5,4,2,1
17,1,5,2,8,4,2,1
17,2,4,2,8,4,2,1
17,2,5,2,8,4,2,1
17,1,2,1,1,5,2,1
17,1,3,1,1,5,2,1
17,1,3,1,1,5,2,1
17,1,3,1,1,5,2,1
17,1,4,1,1,5,2,1
17,1,4,1,1,5,2,1
17,1,4,1,1,5,2,1
17,1,4,1,1,5,2,1
17,1,4,1,1,5,2,1
17,1,5,1,1,5,2,1
17,1,5,1,1,5,2,1
17,1,5,1,1,5,2,1
17,1,5,1,1,5,2,1
17,1,5,1,1,5,2,1
17,1,5,1,1,5,2,1
17,2,3,1,1,5,2,1
17,2,3,1,1,5,2,1
17,2,4,1,1,5,2,1
17,2,4,1,1,5,2,1
17,2,4,1,1,5,2,1
17,2,4,1,1,5,2,1
17,2,5,1,1,5,2,1
17,2,5,1,1,5,2,1
17,2,5,1,1,5,2,1
17,2,5,1,1,5,2,1
17,2,5,1,1,5,2,1
17,2,5,1,1,5,2,1
17,1,2,2,2,5,2,1
17,1,4,2,2,5,2,1
17,1,4,2,2,5,2,1
17,1,4,2,2,5,2,1
17,1,4,2,2,5,2,1
17,1,4,2,2,5,2,1
17,1,4,2,2,5,2,1
17,1,4,2,2,5,2,1
17,1,5,2,2,5,2,1
17,1,5,2,2,5,2,1
17,1,5,2,2,5,2,1
17,1,5,2,2,5,2,1
17,1,5,2,2,5,2,1
17,1,5,2,2,5,2,1
17,1,5,2,2,5,2,1
17,1,5,2,2,5,2,1
17,1,5,2,2,5,2,1
17,1,5,2,2,5,2,1
17,2,2,2,2,5,2,1
17,2,3,2,2,5,2,1
17,2,3,2,2,5,2,1
17,2,4,2,2,5,2,1
17,2,4,2,2,5,2,1
17,2,4,2,2,5,2,1
17,2,4,2,2,5,2,1
17,2,4,2,2,5,2,1
17,2,5,2,2,5,2,1
17,2,5,2,2,5,2,1
17,2,5,2,2,5,2,1
17,2,5,2,2,5,2,1
17,2,4,3,2,5,2,1
17,1,4,2,3,5,2,1
17,1,4,2,3,5,2,1
17,1,4,2,3,5,2,1
17,1,5,2,3,5,2,1
17,1,5,2,3,5,2,1
17,1,5,2,3,5,2,1
17,1,5,2,3,5,2,1
17,1,5,2,3,5,2,1
17,2,4,2,3,5,2,1
17,2,4,2,3,5,2,1
17,2,5,2,3,5,2,1
17,2,5,3,3,5,2,1
17,1,1,2,4,5,2,1
17,1,5,2,4,5,2,1
17,1,5,2,4,5,2,1
17,1,5,2,4,5,2,1
17,1,5,2,5,5,2,1
17,2,3,2,5,5,2,1
17,2,5,2,5,5,2,1
17,1,5,2,6,5,2,1
17,2,4,2,6,5,2,1
17,2,4,2,6,5,2,1
17,2,5,3,6,5,2,1
17,2,4,4,6,5,2,1
17,1,4,2,7,5,2,1
17,1,5,2,7,5,2,1
17,1,5,2,7,5,2,1
17,2,3,2,7,5,2,1
17,2,3,2,7,5,2,1
17,2,5,2,7,5,2,1
17,2,5,3,7,5,2,1
17,1,2,2,8,5,2,1
17,1,4,2,8,5,2,1
17,1,4,2,8,5,2,1
17,1,5,2,8,5,2,1
17,1,5,2,8,5,2,1
17,1,5,2,8,5,2,1
17,1,5,2,8,5,2,1
17,1,5,2,8,5,2,1
17,2,3,2,8,5,2,1
17,2,4,2,8,5,2,1
17,2,5,2,8,5,2,1
17,1,3,1,1,6,2,1
17,1,3,1,1,6,2,1
17,1,3,1,1,6,2,1
17,1,3,1,1,6,2,1
17,1,3,1,1,6,2,1
17,1,3,1,1,6,2,1
17,1,4,1,1,6,2,1
17,1,4,1,1,6,2,1
17,1,4,1,1,6,2,1
17,1,4,1,1,6,2,1
17,1,4,1,1,6,2,1
17,1,4,1,1,6,2,1
17,1,4,1,1,6,2,1
17,1,4,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,1,5,1,1,6,2,1
17,2,2,1,1,6,2,1
17,2,3,1,1,6,2,1
17,2,3,1,1,6,2,1
17,2,3,1,1,6,2,1
17,2,4,1,1,6,2,1
17,2,4,1,1,6,2,1
17,2,5,1,1,6,2,1
17,2,5,1,1,6,2,1
17,2,5,1,1,6,2,1
17,2,5,1,1,6,2,1
17,2,5,1,1,6,2,1
17,2,5,1,1,6,2,1
17,2,5,1,1,6,2,1
17,1,4,2,2,6,2,1
17,1,4,2,2,6,2,1
17,1,4,2,2,6,2,1
17,1,4,2,2,6,2,1
17,1,5,2,2,6,2,1
17,1,5,2,2,6,2,1
17,1,5,2,2,6,2,1
17,1,5,2,2,6,2,1
17,1,5,2,2,6,2,1
17,1,5,2,2,6,2,1
17,1,5,2,2,6,2,1
17,1,5,2,2,6,2,1
17,1,5,2,2,6,2,1
17,1,5,2,2,6,2,1
17,1,5,2,2,6,2,1
17,2,3,2,2,6,2,1
17,2,3,2,2,6,2,1
17,2,3,2,2,6,2,1
17,2,4,2,2,6,2,1
17,2,4,2,2,6,2,1
17,2,4,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,5,2,2,6,2,1
17,2,1,3,2,6,2,1
17,1,1,2,3,6,2,1
17,1,3,2,3,6,2,1
17,1,4,2,3,6,2,1
17,1,4,2,3,6,2,1
17,1,4,2,3,6,2,1
17,1,5,2,3,6,2,1
17,1,5,2,3,6,2,1
17,1,5,2,3,6,2,1
17,1,5,2,3,6,2,1
17,1,5,2,3,6,2,1
17,1,5,2,3,6,2,1
17,2,2,2,3,6,2,1
17,2,3,2,3,6,2,1
17,2,4,2,3,6,2,1
17,2,4,2,3,6,2,1
17,2,4,2,3,6,2,1
17,2,4,2,3,6,2,1
17,2,4,2,3,6,2,1
17,2,4,2,3,6,2,1
17,2,5,2,3,6,2,1
17,2,5,2,3,6,2,1
17,2,5,2,3,6,2,1
17,2,5,2,3,6,2,1
17,2,5,3,3,6,2,1
17,1,3,2,4,6,2,1
17,1,4,2,4,6,2,1
17,1,4,2,4,6,2,1
17,1,4,2,4,6,2,1
17,1,4,2,4,6,2,1
17,1,5,2,4,6,2,1
17,2,4,2,4,6,2,1
17,2,4,2,4,6,2,1
17,2,5,2,4,6,2,1
17,1,4,2,5,6,2,1
17,1,4,2,5,6,2,1
17,1,5,2,5,6,2,1
17,1,5,2,5,6,2,1
17,1,5,2,5,6,2,1
17,1,5,2,5,6,2,1
17,1,5,2,5,6,2,1
17,2,2,2,5,6,2,1
17,2,4,2,5,6,2,1
17,1,5,3,5,6,2,1
17,1,5,3,5,6,2,1
17,1,5,4,5,6,2,1
17,1,4,2,6,6,2,1
17,1,4,2,6,6,2,1
17,1,5,2,6,6,2,1
17,1,5,2,6,6,2,1
17,2,3,2,6,6,2,1
17,2,4,2,6,6,2,1
17,2,5,2,6,6,2,1
17,2,5,2,6,6,2,1
17,2,5,3,6,6,2,1
17,1,4,2,7,6,2,1
17,1,5,2,7,6,2,1
17,1,5,2,7,6,2,1
17,1,5,2,7,6,2,1
17,1,5,2,7,6,2,1
17,2,4,2,7,6,2,1
17,1,4,2,8,6,2,1
17,1,5,2,8,6,2,1
17,1,5,2,8,6,2,1
17,1,5,2,8,6,2,1
17,2,4,2,8,6,2,1
17,2,5,2,8,6,2,1
17,2,5,2,8,6,2,1
17,2,2,4,8,6,2,1
17,1,2,1,1,7,2,1
17,1,3,1,1,7,2,1
17,1,3,1,1,7,2,1
17,1,4,1,1,7,2,1
17,1,5,1,1,7,2,1
17,1,5,1,1,7,2,1
17,1,5,1,1,7,2,1
17,1,5,1,1,7,2,1
17,1,5,1,1,7,2,1
17,2,3,1,1,7,2,1
17,2,4,1,1,7,2,1
17,2,4,1,1,7,2,1
17,2,5,1,1,7,2,1
17,1,3,2,2,7,2,1
17,1,4,2,2,7,2,1
17,1,4,2,2,7,2,1
17,1,5,2,2,7,2,1
17,1,5,2,2,7,2,1
17,1,5,2,2,7,2,1
17,1,5,2,2,7,2,1
17,1,5,2,2,7,2,1
17,1,5,2,2,7,2,1
17,1,5,2,2,7,2,1
17,2,3,2,2,7,2,1
17,2,4,2,2,7,2,1
17,2,5,2,2,7,2,1
17,2,5,2,2,7,2,1
17,2,5,2,2,7,2,1
17,2,5,2,2,7,2,1
17,1,4,2,3,7,2,1
17,1,5,2,3,7,2,1
17,1,5,2,3,7,2,1
17,2,5,2,3,7,2,1
17,2,5,2,3,7,2,1
17,1,5,3,3,7,2,1
17,1,4,2,4,7,2,1
17,1,5,2,4,7,2,1
17,1,5,2,5,7,2,1
17,1,5,2,7,7,2,1
17,2,5,2,7,7,2,1
17,2,1,2,8,7,2,1
17,2,5,2,8,7,2,1
17,2,4,1,1,2,3,1
17,2,4,1,1,2,3,1
17,1,4,2,2,2,3,1
17,1,5,2,2,2,3,1
17,2,4,2,2,2,3,1
17,2,5,2,5,2,3,1
17,2,4,2,8,2,3,1
17,1,4,1,1,3,3,1
17,1,5,1,1,3,3,1
17,1,5,2,3,3,3,1
17,1,4,2,5,3,3,1
17,1,5,3,7,3,3,1
17,1,3,2,2,4,3,1
17,1,4,2,2,4,3,1
17,1,5,2,2,4,3,1
17,2,4,2,2,4,3,1
17,2,5,2,2,4,3,1
17,2,5,2,2,4,3,1
17,2,2,2,5,4,3,1
17,1,4,3,8,4,3,1
17,1,3,1,1,5,3,1
17,1,3,1,1,5,3,1
17,1,5,1,1,5,3,1
17,2,3,1,1,5,3,1
17,2,4,1,1,5,3,1
17,1,4,2,2,5,3,1
17,1,5,2,2,5,3,1
17,1,5,2,2,5,3,1
17,2,2,2,2,5,3,1
17,2,4,2,2,5,3,1
17,2,3,3,2,5,3,1
17,2,5,3,2,5,3,1
17,1,5,2,3,5,3,1
17,1,5,2,3,5,3,1
17,2,5,2,3,5,3,1
17,1,5,2,4,5,3,1
17,1,5,2,4,5,3,1
17,2,5,2,4,5,3,1
17,1,3,2,6,5,3,1
17,1,5,2,7,5,3,1
17,2,5,3,7,5,3,1
17,1,4,4,7,5,3,1
17,1,5,2,8,5,3,1
17,1,5,2,8,5,3,1
17,1,3,3,8,5,3,1
17,1,3,1,1,6,3,1
17,1,4,1,1,6,3,1
17,1,5,1,1,6,3,1
17,1,5,1,1,6,3,1
17,1,5,1,1,6,3,1
17,1,5,1,1,6,3,1
17,2,3,1,1,6,3,1
17,2,5,1,1,6,3,1
17,2,5,1,1,6,3,1
17,1,4,2,2,6,3,1
17,1,4,2,2,6,3,1
17,1,4,2,2,6,3,1
17,1,4,2,2,6,3,1
17,2,3,2,2,6,3,1
17,2,5,2,2,6,3,1
17,2,5,2,2,6,3,1
17,2,5,2,2,6,3,1
17,1,4,4,2,6,3,1
17,1,5,4,2,6,3,1
17,1,4,2,3,6,3,1
17,1,4,2,4,6,3,1
17,1,5,2,4,6,3,1
17,1,5,2,6,6,3,1
17,1,3,2,8,6,3,1
17,1,5,2,8,6,3,1
17,1,5,2,8,6,3,1
17,2,5,2,8,6,3,1
17,2,2,3,8,6,3,1
17,1,5,1,1,7,3,1
17,1,5,1,1,7,3,1
17,1,5,2,2,7,3,1
17,2,5,2,3,7,3,1
17,1,5,3,4,7,3,1
17,2,4,4,4,7,3,1
17,2,5,4,7,7,3,1
17,1,5,2,8,7,3,1
17,1,2,1,1,3,4,1
17,1,4,2,4,3,4,1
17,1,3,2,6,4,4,1
17,2,5,3,2,5,4,1
17,1,5,2,5,5,4,1
17,1,5,2,5,5,4,1
17,1,5,3,7,5,4,1
17,2,2,4,7,5,4,1
17,1,4,2,8,5,4,1
17,1,5,2,8,5,4,1
17,1,4,1,1,6,4,1
17,1,5,1,1,6,4,1
17,1,3,2,2,6,4,1
17,2,5,2,2,6,4,1
17,1,5,3,6,6,4,1
17,1,5,2,8,6,4,1
17,1,3,3,8,6,4,1
17,1,4,2,3,7,4,1
17,2,3,4,4,2,5,1
17,1,4,2,6,2,5,1
17,2,3,1,1,3,5,1
17,1,5,3,8,4,5,1
17,1,2,1,1,5,5,1
17,1,5,2,2,5,5,1
17,2,3,2,8,5,5,1
17,1,4,1,1,6,5,1
17,2,5,2,2,6,5,1
17,1,3,2,2,6,6,1
17,2,5,2,2,6,7,1
17,1,5,2,2,1,2,2
17,2,5,2,7,1,2,2
17,1,2,1,1,2,2,2
17,1,4,1,1,2,2,2
17,2,4,1,1,2,2,2
17,2,5,2,2,2,2,2
17,1,2,2,3,2,2,2
17,2,4,2,3,2,2,2
17,2,5,2,3,2,2,2
17,2,5,2,8,2,2,2
17,1,5,3,8,2,2,2
17,2,5,1,1,3,2,2
17,1,5,2,2,3,2,2
17,2,5,2,2,3,2,2
17,2,4,2,3,3,2,2
17,1,5,2,5,3,2,2
17,2,2,2,6,3,2,2
17,2,4,1,1,4,2,2
17,1,2,2,2,4,2,2
17,1,5,2,2,4,2,2
17,1,5,2,2,4,2,2
17,2,4,2,2,4,2,2
17,2,4,2,2,4,2,2
17,2,5,2,2,4,2,2
17,2,5,2,2,4,2,2
17,1,5,2,3,4,2,2
17,2,2,2,3,4,2,2
17,2,4,2,3,4,2,2
17,2,3,2,5,4,2,2
17,1,4,2,7,4,2,2
17,1,3,2,8,4,2,2
17,2,5,3,8,4,2,2
17,1,2,1,1,5,2,2
17,1,4,1,1,5,2,2
17,1,4,1,1,5,2,2
17,1,4,1,1,5,2,2
17,1,4,1,1,5,2,2
17,1,5,1,1,5,2,2
17,1,5,1,1,5,2,2
17,2,5,1,1,5,2,2
17,2,5,1,1,5,2,2
17,1,2,2,2,5,2,2
17,1,4,2,2,5,2,2
17,1,4,2,2,5,2,2
17,1,4,2,2,5,2,2
17,1,4,2,2,5,2,2
17,1,4,2,2,5,2,2
17,1,5,2,2,5,2,2
17,1,5,2,2,5,2,2
17,1,5,2,2,5,2,2
17,1,5,2,2,5,2,2
17,2,3,2,2,5,2,2
17,2,4,2,2,5,2,2
17,2,4,2,2,5,2,2
17,2,5,2,2,5,2,2
17,2,5,2,2,5,2,2
17,2,5,2,2,5,2,2
17,2,5,2,2,5,2,2
17,2,3,3,2,5,2,2
17,2,5,3,2,5,2,2
17,1,5,2,3,5,2,2
17,2,4,2,3,5,2,2
17,2,4,2,3,5,2,2
17,2,5,2,3,5,2,2
17,2,5,2,3,5,2,2
17,2,5,2,3,5,2,2
17,2,5,2,3,5,2,2
17,2,4,2,4,5,2,2
17,2,4,2,4,5,2,2
17,2,5,2,4,5,2,2
17,2,5,2,4,5,2,2
17,2,5,2,4,5,2,2
17,1,1,2,5,5,2,2
17,2,4,2,5,5,2,2
17,2,5,2,5,5,2,2
17,1,5,2,6,5,2,2
17,1,5,2,6,5,2,2
17,2,5,2,6,5,2,2
17,1,5,3,6,5,2,2
17,2,5,3,6,5,2,2
17,1,4,2,7,5,2,2
17,2,5,2,7,5,2,2
17,2,2,3,7,5,2,2
17,1,4,2,8,5,2,2
17,1,5,2,8,5,2,2
17,2,4,2,8,5,2,2
17,1,2,3,8,5,2,2
17,1,5,3,8,5,2,2
17,1,5,3,8,5,2,2
17,1,5,3,8,5,2,2
17,2,3,6,8,5,2,2
17,1,2,1,1,6,2,2
17,1,3,1,1,6,2,2
17,1,4,1,1,6,2,2
17,1,4,1,1,6,2,2
17,1,4,1,1,6,2,2
17,1,5,1,1,6,2,2
17,1,5,1,1,6,2,2
17,1,5,1,1,6,2,2
17,1,5,1,1,6,2,2
17,1,5,1,1,6,2,2
17,1,5,1,1,6,2,2
17,1,5,1,1,6,2,2
17,1,5,1,1,6,2,2
17,2,3,1,1,6,2,2
17,2,4,1,1,6,2,2
17,2,4,1,1,6,2,2
17,2,4,1,1,6,2,2
17,2,5,1,1,6,2,2
17,2,5,1,1,6,2,2
17,2,5,1,1,6,2,2
17,1,2,2,2,6,2,2
17,1,3,2,2,6,2,2
17,1,4,2,2,6,2,2
17,1,4,2,2,6,2,2
17,1,4,2,2,6,2,2
17,1,5,2,2,6,2,2
17,1,5,2,2,6,2,2
17,1,5,2,2,6,2,2
17,1,5,2,2,6,2,2
17,1,5,2,2,6,2,2
17,1,5,2,2,6,2,2
17,2,2,2,2,6,2,2
17,2,3,2,2,6,2,2
17,2,4,2,2,6,2,2
17,2,4,2,2,6,2,2
17,2,4,2,2,6,2,2
17,2,5,2,2,6,2,2
17,2,5,2,2,6,2,2
17,2,5,2,2,6,2,2
17,2,5,2,2,6,2,2
17,2,5,2,2,6,2,2
17,2,5,2,2,6,2,2
17,2,5,2,2,6,2,2
17,2,5,2,2,6,2,2
17,2,5,2,2,6,2,2
17,1,4,3,2,6,2,2
17,1,5,3,2,6,2,2
17,1,2,2,3,6,2,2
17,1,3,2,3,6,2,2
17,1,5,2,3,6,2,2
17,1,5,2,3,6,2,2
17,2,4,2,3,6,2,2
17,2,5,2,3,6,2,2
17,1,5,3,3,6,2,2
17,1,5,4,3,6,2,2
17,1,5,2,4,6,2,2
17,1,5,2,4,6,2,2
17,1,5,2,4,6,2,2
17,1,5,2,4,6,2,2
17,2,4,2,4,6,2,2
17,2,5,2,4,6,2,2
17,1,4,2,5,6,2,2
17,1,4,2,5,6,2,2
17,1,5,2,5,6,2,2
17,2,4,4,5,6,2,2
17,1,4,2,6,6,2,2
17,1,5,2,6,6,2,2
17,1,5,2,6,6,2,2
17,2,4,2,6,6,2,2
17,2,4,2,6,6,2,2
17,2,5,2,6,6,2,2
17,1,5,3,6,6,2,2
17,1,4,2,7,6,2,2
17,1,5,2,7,6,2,2
17,2,2,2,7,6,2,2
17,2,5,2,7,6,2,2
17,2,5,2,7,6,2,2
17,1,4,3,7,6,2,2
17,2,3,3,7,6,2,2
17,2,5,3,7,6,2,2
17,1,5,4,7,6,2,2
17,1,3,2,8,6,2,2
17,1,4,2,8,6,2,2
17,1,5,2,8,6,2,2
17,1,5,2,8,6,2,2
17,2,5,2,8,6,2,2
17,2,5,2,8,6,2,2
17,1,5,3,8,6,2,2
17,1,4,1,1,7,2,2
17,1,5,1,1,7,2,2
17,1,5,2,2,7,2,2
17,1,5,2,2,7,2,2
17,2,4,2,2,7,2,2
17,2,4,2,2,7,2,2
17,2,4,2,2,7,2,2
17,2,5,2,2,7,2,2
17,2,5,2,2,7,2,2
17,2,5,2,2,7,2,2
17,2,5,2,3,7,2,2
17,1,5,2,4,7,2,2
17,1,5,3,5,7,2,2
17,1,4,1,1,2,3,2
17,1,5,1,1,2,3,2
17,1,3,2,2,2,3,2
17,1,5,2,2,2,3,2
17,2,4,2,2,2,3,2
17,2,5,2,2,3,3,2
17,2,5,2,3,3,3,2
17,1,2,2,4,3,3,2
17,1,4,1,1,4,3,2
17,1,5,1,1,4,3,2
17,2,5,1,1,4,3,2
17,1,5,2,2,4,3,2
17,2,5,2,2,4,3,2
17,1,5,2,3,4,3,2
17,2,5,2,6,4,3,2
17,1,3,1,1,5,3,2
17,1,3,1,1,5,3,2
17,1,5,1,1,5,3,2
17,1,4,2,2,5,3,2
17,1,4,2,2,5,3,2
17,1,3,3,2,5,3,2
17,2,5,3,2,5,3,2
17,1,4,3,3,5,3,2
17,2,5,2,4,5,3,2
17,1,5,2,5,5,3,2
17,1,5,2,6,5,3,2
17,2,5,2,6,5,3,2
17,2,5,2,6,5,3,2
17,1,5,2,7,5,3,2
17,1,5,2,8,5,3,2
17,2,1,2,8,5,3,2
17,1,5,1,1,6,3,2
17,2,5,1,1,6,3,2
17,1,3,2,2,6,3,2
17,1,5,2,2,6,3,2
17,1,5,2,2,6,3,2
17,1,5,2,2,6,3,2
17,2,4,2,2,6,3,2
17,2,5,2,2,6,3,2
17,2,5,2,2,6,3,2
17,2,5,2,2,6,3,2
17,2,5,2,2,6,3,2
17,2,5,2,3,6,3,2
17,2,5,3,3,6,3,2
17,1,5,2,4,6,3,2
17,2,5,2,4,6,3,2
17,2,5,2,4,6,3,2
17,2,5,2,4,6,3,2
17,1,5,2,5,6,3,2
17,2,4,2,6,6,3,2
17,2,5,2,6,6,3,2
17,1,5,3,6,6,3,2
17,1,5,3,7,6,3,2
17,2,5,3,7,6,3,2
17,1,5,2,8,6,3,2
17,1,5,2,8,6,3,2
17,2,5,2,8,6,3,2
17,2,5,3,8,6,3,2
17,2,4,1,1,7,3,2
17,1,4,4,3,7,3,2
17,2,1,2,4,7,3,2
17,2,4,2,4,2,4,2
17,1,4,2,3,3,4,2
17,2,5,3,7,3,4,2
17,1,4,2,2,4,4,2
17,1,5,2,2,4,4,2
17,2,4,3,2,4,4,2
17,1,5,1,1,5,4,2
17,1,3,2,2,5,4,2
17,2,3,3,4,5,4,2
17,2,5,4,5,5,4,2
17,1,5,2,6,5,4,2
17,2,4,2,7,5,4,2
17,2,5,2,8,5,4,2
17,1,5,1,1,6,4,2
17,2,4,2,2,6,4,2
17,2,5,2,2,6,4,2
17,2,4,3,5,6,4,2
17,2,4,2,8,6,4,2
17,2,3,4,8,7,4,2
17,2,5,3,6,3,5,2
17,2,5,2,4,2,2,3
17,2,5,3,6,2,2,3
17,2,5,3,7,2,2,3
17,2,4,2,2,3,2,3
17,2,4,1,1,4,2,3
17,2,4,2,2,4,2,3
17,2,5,3,2,4,2,3
17,2,4,2,3,4,2,3
17,2,4,2,8,4,2,3
17,1,2,1,1,5,2,3
17,1,5,1,1,5,2,3
17,2,4,1,1,5,2,3
17,2,4,1,1,5,2,3
17,1,5,2,2,5,2,3
17,1,5,2,2,5,2,3
17,2,2,2,2,5,2,3
17,2,5,2,2,5,2,3
17,2,4,3,2,5,2,3
17,2,5,2,3,5,2,3
17,2,5,2,3,5,2,3
17,2,5,2,4,5,2,3
17,2,4,2,6,5,2,3
17,1,5,2,7,5,2,3
17,2,5,2,7,5,2,3
17,1,4,2,8,5,2,3
17,1,4,2,8,5,2,3
17,2,5,3,8,5,2,3
17,1,4,6,8,5,2,3
17,1,3,1,1,6,2,3
17,1,5,1,1,6,2,3
17,1,5,1,1,6,2,3
17,2,4,1,1,6,2,3
17,1,3,2,2,6,2,3
17,1,5,2,2,6,2,3
17,1,5,2,2,6,2,3
17,1,5,2,2,6,2,3
17,1,5,2,2,6,2,3
17,2,3,2,2,6,2,3
17,2,4,2,2,6,2,3
17,2,5,2,2,6,2,3
17,2,5,2,2,6,2,3
17,1,5,3,2,6,2,3
17,1,5,2,3,6,2,3
17,2,5,2,3,6,2,3
17,2,5,2,3,6,2,3
17,1,4,2,4,6,2,3
17,2,3,2,4,6,2,3
17,2,5,2,4,6,2,3
17,2,3,6,4,6,2,3
17,1,3,2,6,6,2,3
17,1,4,2,6,6,2,3
17,2,2,2,6,6,2,3
17,2,5,2,7,6,2,3
17,2,5,3,7,6,2,3
17,1,5,2,8,6,2,3
17,1,5,2,8,6,2,3
17,1,5,2,8,6,2,3
17,1,5,2,8,6,2,3
17,2,5,2,8,6,2,3
17,2,5,2,8,6,2,3
17,2,4,3,8,6,2,3
17,2,3,1,1,7,2,3
17,1,5,2,2,7,2,3
17,2,5,2,2,7,2,3
17,2,5,2,2,7,2,3
17,2,5,4,3,7,2,3
17,2,5,2,8,7,2,3
17,1,4,1,1,2,3,3
17,1,5,1,1,2,3,3
17,2,2,2,2,2,3,3
17,2,3,2,2,2,3,3
17,2,4,2,2,2,3,3
17,2,1,3,8,2,3,3
17,1,4,1,1,3,3,3
17,1,2,2,2,3,3,3
17,1,4,2,2,3,3,3
17,2,4,3,3,3,3,3
17,1,3,3,5,3,3,3
17,2,3,5,6,3,3,3
17,2,5,2,7,3,3,3
17,2,1,4,8,3,3,3
17,2,2,1,1,4,3,3
17,2,2,1,1,4,3,3
17,2,3,1,1,4,3,3
17,1,3,2,2,4,3,3
17,2,1,2,2,4,3,3
17,2,5,2,2,4,3,3
17,2,5,2,2,4,3,3
17,1,5,2,7,4,3,3
17,2,5,3,7,4,3,3
17,2,5,2,8,4,3,3
17,1,2,1,1,5,3,3
17,1,2,1,1,5,3,3
17,1,3,2,2,5,3,3
17,1,5,2,2,5,3,3
17,1,5,2,2,5,3,3
17,2,2,2,2,5,3,3
17,2,3,2,2,5,3,3
17,2,5,2,2,5,3,3
17,2,5,2,2,5,3,3
17,2,5,4,2,5,3,3
17,1,5,2,3,5,3,3
17,2,5,2,3,5,3,3
17,2,5,2,3,5,3,3
17,1,5,2,4,5,3,3
17,2,5,3,4,5,3,3
17,1,5,2,6,5,3,3
17,1,5,2,6,5,3,3
17,1,5,2,6,5,3,3
17,2,5,2,6,5,3,3
17,2,5,2,6,5,3,3
17,1,5,3,7,5,3,3
17,2,3,2,8,5,3,3
17,1,3,3,8,5,3,3
17,1,1,1,1,6,3,3
17,1,4,1,1,6,3,3
17,1,5,1,1,6,3,3
17,2,2,1,1,6,3,3
17,2,4,1,1,6,3,3
17,1,4,2,2,6,3,3
17,1,4,2,2,6,3,3
17,1,5,2,2,6,3,3
17,1,5,2,2,6,3,3
17,2,3,2,2,6,3,3
17,2,5,2,2,6,3,3
17,2,5,2,2,6,3,3
17,1,5,3,2,6,3,3
17,1,5,3,2,6,3,3
17,2,5,3,2,6,3,3
17,1,4,2,3,6,3,3
17,1,5,2,4,6,3,3
17,1,4,2,5,6,3,3
17,2,3,2,6,6,3,3
17,2,5,3,6,6,3,3
17,2,5,2,7,6,3,3
17,2,5,2,7,6,3,3
17,2,5,2,7,6,3,3
17,1,3,3,7,6,3,3
17,1,5,2,8,6,3,3
17,2,2,2,8,6,3,3
17,1,3,3,8,6,3,3
17,1,3,6,8,6,3,3
17,1,3,1,1,7,3,3
17,2,5,2,2,7,3,3
17,1,5,2,3,7,3,3
17,1,5,2,5,7,3,3
17,2,5,6,4,2,4,3
17,2,4,3,5,2,4,3
17,2,4,3,8,2,4,3
17,2,5,2,2,3,4,3
17,2,3,2,3,3,4,3
17,2,3,4,3,3,4,3
17,1,5,2,2,4,4,3
17,2,3,3,3,4,4,3
17,2,4,3,6,4,4,3
17,1,4,1,1,5,4,3
17,2,4,1,1,5,4,3
17,2,4,1,1,5,4,3
17,2,4,1,1,5,4,3
17,1,5,2,2,5,4,3
17,2,4,2,2,5,4,3
17,2,5,2,2,5,4,3
17,1,5,2,3,5,4,3
17,2,3,3,3,5,4,3
17,1,3,3,5,5,4,3
17,2,4,2,6,5,4,3
17,2,5,3,6,5,4,3
17,1,5,2,8,5,4,3
17,2,4,1,1,6,4,3
17,2,5,2,2,6,4,3
17,2,5,4,5,6,4,3
